Modelo;Erro Médio (MAE);Precisão (R2);Complexidade
modelo_frutas_01-03-2026_20-49.pkl;6.67 h;18.8%;10 inputs
modelo_2_tempo_restante.pkl;11.49 h;-30.6%;6 inputs
