"hora_do_dia","media_temperatura","pico_maximo"
0,29.61,33.30
1,29.16,33.30
2,28.75,32.80
3,28.53,32.30
4,28.32,31.80
5,28.00,31.30
6,28.12,30.80
7,27.98,30.20
8,27.74,29.80
9,27.45,29.40
10,27.38,29.30
11,27.51,29.30
12,27.72,29.80
13,28.06,30.20
14,28.08,30.80
15,29.51,31.80
16,29.92,32.80
17,30.66,32.80
18,31.06,33.80
19,31.31,35.20
20,31.54,37.40
21,30.84,36.30
22,30.21,35.20
23,30.11,34.20
